# Constructed from biom file
#OTU ID	SRR15093004	SRR15093005	SRR15093006	SRR15093007	SRR15093008	SRR15093009	SRR15093010	SRR15093011	SRR15093012	SRR15093013	SRR15093014
P441-PWY	2982.699994423929	2209.1207149031743	2526.164209749078	2666.4213207008743	780.3224884976992	2188.462162653865	1569.18308886178	3941.9840672377004	2062.84218973402	2815.3113269283144	4683.887501095697
P461-PWY	362.56898225478767	166.94597492966795	459.4490794095113	1641.2255226507282	320.3955111419766	358.2633056861653	179.5885728434164	438.0715458518903	83.9122004751969	1437.90438233195	3323.6481430190406
P562-PWY	2386.775544048244	2890.2591012416947	1276.7391264045968	3653.4827419253265	2379.468114504528	1268.413849212929	1389.032074181801	2354.7287472225057	1654.1148650888695	6478.63949112143	5688.485146613755
P621-PWY	999.0471105269643	1254.8861012389214	1316.1732906385384	359.1347332167766	605.6509155118805	1319.7933496148787	856.9146906514037	1446.7119685845996	835.2683736879059	2425.756928825146	908.2820956792897
PANTO-PWY	36944.74447235316	28804.630846568703	34097.10268346703	24243.865485555023	26643.902483174446	31067.542169034296	32890.76759411036	41821.80161529823	33039.06554708236	22196.35088876823	52782.81981337708
PANTOSYN-PWY	33638.45107285693	26609.029433689124	32718.2287762931	22993.473662079257	22622.080122669606	27077.62999355942	28841.322216941473	35292.34020613276	30085.12764379451	21630.698533411603	49283.49392548253
PENTOSE-P-PWY	42460.22099887064	33058.08660475072	37894.142709313026	23292.69175311851	29827.388304639713	35362.91187219484	36429.89483310417	47979.442867919	36274.599591919854	25603.580768115815	46311.649483627894
PEPTIDOGLYCANSYN-PWY	38301.3026566937	28975.160920115675	34570.09452959256	23743.32271514613	27162.141406941573	30870.33933464999	33056.66590658544	41621.861513896896	33346.54043523097	20819.83178882528	56062.58020627244
PHOSLIPSYN-PWY	50206.1579826816	37236.758882977316	44744.02408756712	29410.40400470459	35719.87621585261	40099.84584023886	42614.359860261575	54468.576223265394	43134.96992962288	26875.23499368663	68006.86075559985
POLYAMINSYN3-PWY	5995.377927176839	3893.5381127873734	6021.944801774161	7621.1763724124985	5528.236253616298	4278.02889085912	6509.5368760751035	7461.043065373359	4001.6527299627714	7428.2026503698335	16227.801601325158
POLYAMSYN-PWY	5923.60105173005	3894.4841978107643	5963.363382234874	7649.4670424743645	5465.806946603385	4234.563347930717	6387.564978147992	7320.8634732432865	3986.187502249453	7441.84820694909	15120.423281509966
POLYISOPRENSYN-PWY	39486.785869910236	30294.87922593654	35850.0602232303	24209.90679188899	26757.599834014545	31742.74542177348	33845.97466532272	42091.431073148895	34591.12797766623	21312.817406676753	53368.474745200925
PPGPPMET-PWY	5633.468788101981	4786.06471486051	7133.424890239022	6702.291722397728	2822.705228999453	5941.27318147231	3813.698188309708	6677.233485536831	4262.114505833367	7399.222691135075	14422.881773245399
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	12062.209923994375	12481.679255520032	10232.978782664703	12665.50682865499	6295.687123537035	9379.53006495021	5617.531411775803	10092.039745438304	11117.654748189994	15581.550407559665	17732.44438071524
